method,n,n_tasks,layout_hierarchy_mean,layout_hierarchy_sd,layout_hierarchy_sem,spacing_alignment_balance_mean,spacing_alignment_balance_sd,spacing_alignment_balance_sem,color_typography_mean,color_typography_sd,color_typography_sem,style_originality_finish_mean,style_originality_finish_sd,style_originality_finish_sem,overall_mean,overall_sd,overall_sem,overall_gold_centered_mean
SELF,72,12,73.264,14.844,1.749,73.583,15.892,1.873,77.931,7.133,0.841,72.611,12.456,1.468,72.847,14.205,1.674,72.329
FUSED,72,12,72.986,12.728,1.5,73.014,13.697,1.614,76.861,10.26,1.209,72.972,11.948,1.408,72.778,12.666,1.493,73.079
AXES,72,12,73.694,11.516,1.357,73.847,11.116,1.31,78.125,5.659,0.667,74.361,9.326,1.099,73.611,10.231,1.206,73.843
MAD,72,12,75.375,10.63,1.253,75.014,11.246,1.325,79.528,6.38,0.752,75.611,9.743,1.148,75.333,10.323,1.217,75.139
