method,n,n_tasks,layout_hierarchy_mean,layout_hierarchy_sd,layout_hierarchy_sem,spacing_alignment_balance_mean,spacing_alignment_balance_sd,spacing_alignment_balance_sem,color_typography_mean,color_typography_sd,color_typography_sem,style_originality_finish_mean,style_originality_finish_sd,style_originality_finish_sem,overall_mean,overall_sd,overall_sem,overall_gold_centered_mean
SELF,24,4,68.375,16.164,3.3,68.5,16.79,3.427,78.25,7.273,1.485,71.75,13.543,2.764,69.25,15.417,3.147,69.431
FUSED,24,4,71.208,11.386,2.324,72,12.079,2.466,77.875,10.514,2.146,74.167,10.627,2.169,71.542,11.971,2.444,72.181
AXES,24,4,68.667,14.517,2.963,68.833,13.777,2.812,78.125,6.053,1.236,71.958,13.073,2.669,69.208,13.151,2.684,69.764
MAD,24,4,72.792,11.828,2.414,71.375,12.937,2.641,80.792,6.487,1.324,75.083,11.511,2.35,73.667,11.992,2.448,73.028
GOLD,24,4,77.458,10.155,2.073,76.833,10.651,2.174,82.167,4.815,0.983,78.5,8.949,1.827,77.958,9.733,1.987,77.958
