method,task,from_round,to_round,overall_before,overall_after,delta,before_id,after_id
FUSED,ab000005,2,3,81,81,0,K126,K131
FUSED,ab000009,2,3,80,80,0,K177,K291
FUSED,ab000009,4,5,79,79,0,K145,K104
AXES,ab000003,1,2,74,74,0,K305,K290
AXES,ab000006,0,1,77,77,0,K099,K034
AXES,ab000009,0,1,79,79,0,K132,K230
AXES,ab000009,1,2,79,79,0,K230,K211
AXES,ab000012,3,4,76,76,0,K069,K040
MAD,ab000008,4,5,81,81,0,K065,K229
MAD,ab000009,1,2,81,81,0,K084,K274
MAD,ab000012,2,3,84,84,0,K089,K141
MAD,ab000012,3,4,84,84,0,K141,K051
SELF,ab000002,3,4,45,44,-1,K008,K308
SELF,ab000003,3,4,81,80,-1,K072,K073
SELF,ab000006,2,3,81,80,-1,K297,K144
SELF,ab000011,2,3,77,76,-1,K241,K108
FUSED,ab000002,3,4,77,76,-1,K296,K207
FUSED,ab000003,3,4,81,80,-1,K245,K058
FUSED,ab000004,1,2,50,49,-1,K284,K197
FUSED,ab000006,4,5,82,81,-1,K038,K101
FUSED,ab000009,1,2,81,80,-1,K294,K177
FUSED,ab000009,3,4,80,79,-1,K291,K145
FUSED,ab000010,4,5,58,57,-1,K059,K050
FUSED,ab000011,1,2,78,77,-1,K120,K013
FUSED,ab000012,0,1,80,79,-1,K003,K092
AXES,ab000011,1,2,67,66,-1,K129,K237
AXES,ab000012,2,3,77,76,-1,K289,K069
MAD,ab000002,2,3,71,70,-1,K156,K300
MAD,ab000003,2,3,79,78,-1,K298,K076
MAD,ab000003,4,5,81,80,-1,K216,K085
MAD,ab000012,1,2,85,84,-1,K180,K089
SELF,ab000001,2,3,33,31,-2,K110,K158
SELF,ab000008,0,1,81,79,-2,K199,K280
SELF,ab000010,3,4,84,82,-2,K106,K265
FUSED,ab000008,4,5,87,85,-2,K122,K022
AXES,ab000004,0,1,79,77,-2,K091,K263
AXES,ab000004,1,2,77,75,-2,K263,K185
AXES,ab000006,4,5,81,79,-2,K283,K242
MAD,ab000002,0,1,62,60,-2,K130,K170
MAD,ab000005,4,5,77,75,-2,K020,K190
MAD,ab000006,3,4,80,78,-2,K285,K115
MAD,ab000008,1,2,88,86,-2,K152,K004
MAD,ab000010,1,2,85,83,-2,K137,K306
SELF,ab000004,2,3,86,83,-3,K036,K243
SELF,ab000010,2,3,87,84,-3,K123,K106
AXES,ab000002,3,4,81,78,-3,K181,K109
AXES,ab000007,1,2,65,62,-3,K055,K307
AXES,ab000010,3,4,79,76,-3,K299,K154
MAD,ab000005,3,4,80,77,-3,K029,K020
SELF,ab000005,2,3,83,79,-4,K102,K204
SELF,ab000008,4,5,84,80,-4,K256,K054
FUSED,ab000003,2,3,85,81,-4,K046,K245
FUSED,ab000005,4,5,84,80,-4,K312,K244
FUSED,ab000008,0,1,82,78,-4,K271,K083
MAD,ab000010,2,3,83,79,-4,K306,K016
SELF,ab000003,0,1,83,78,-5,K042,K269
SELF,ab000008,3,4,89,84,-5,K002,K256
AXES,ab000001,3,4,73,68,-5,K063,K198
AXES,ab000005,0,1,81,76,-5,K048,K304
MAD,ab000006,1,2,83,78,-5,K088,K193
SELF,ab000004,0,1,86,80,-6,K279,K119
SELF,ab000004,4,5,84,78,-6,K082,K262
FUSED,ab000001,2,3,48,42,-6,K188,K182
FUSED,ab000001,4,5,62,56,-6,K133,K303
FUSED,ab000012,4,5,89,83,-6,K047,K087
AXES,ab000003,0,1,80,74,-6,K171,K305
MAD,ab000003,0,1,80,74,-6,K270,K128
MAD,ab000004,3,4,89,83,-6,K017,K052
MAD,ab000008,3,4,87,81,-6,K183,K065
SELF,ab000012,0,1,82,75,-7,K160,K134
FUSED,ab000010,3,4,65,58,-7,K025,K059
MAD,ab000011,2,3,81,74,-7,K136,K001
MAD,ab000012,4,5,84,77,-7,K051,K166
FUSED,ab000010,0,1,88,80,-8,K021,K176
AXES,ab000003,3,4,82,74,-8,K095,K194
AXES,ab000009,3,4,80,72,-8,K057,K010
MAD,ab000002,4,5,78,70,-8,K217,K233
SELF,ab000001,0,1,84,75,-9,K033,K267
SELF,ab000006,0,1,77,68,-9,K225,K212
FUSED,ab000002,0,1,62,53,-9,K124,K140
AXES,ab000008,1,2,89,80,-9,K077,K196
AXES,ab000008,3,4,85,76,-9,K186,K148
AXES,ab000011,0,1,76,67,-9,K205,K129
MAD,ab000001,0,1,78,69,-9,K277,K139
MAD,ab000011,3,4,74,65,-9,K001,K248
SELF,ab000011,3,4,76,66,-10,K108,K227
SELF,ab000002,1,2,70,59,-11,K175,K027
FUSED,ab000007,4,5,79,68,-11,K135,K247
AXES,ab000001,2,3,85,73,-12,K239,K063
AXES,ab000006,2,3,79,67,-12,K220,K138
SELF,ab000002,2,3,59,45,-14,K027,K008
SELF,ab000005,0,1,83,69,-14,K162,K157
SELF,ab000007,0,1,55,40,-15,K250,K044
AXES,ab000001,4,5,68,53,-15,K198,K103
AXES,ab000011,3,4,76,61,-15,K172,K081
FUSED,ab000010,2,3,81,65,-16,K071,K025
AXES,ab000002,4,5,78,62,-16,K109,K125
MAD,ab000001,2,3,71,55,-16,K078,K028
MAD,ab000001,3,4,55,39,-16,K028,K257
MAD,ab000005,1,2,80,64,-16,K311,K015
AXES,ab000001,0,1,83,66,-17,K143,K142
AXES,ab000007,3,4,63,45,-18,K292,K080
MAD,ab000007,3,4,76,58,-18,K276,K275
FUSED,ab000004,3,4,70,51,-19,K213,K023
AXES,ab000005,2,3,77,57,-20,K310,K286
MAD,ab000009,2,3,81,61,-20,K274,K007
FUSED,ab000011,2,3,77,56,-21,K013,K026
AXES,ab000005,4,5,84,63,-21,K053,K259
AXES,ab000010,0,1,80,57,-23,K184,K200
SELF,ab000005,3,4,79,54,-25,K204,K223
MAD,ab000007,1,2,73,45,-28,K024,K164
FUSED,ab000004,0,1,81,50,-31,K155,K284
AXES,ab000012,0,1,79,38,-41,K281,K255
SELF,ab000001,1,2,75,33,-42,K267,K110
FUSED,ab000001,0,1,84,32,-52,K060,K107
