condition,round,n,brief_intent_alignment,clarity_information_hierarchy,visual_system_craft,expressiveness_distinctiveness,overall
AXES,1,90,69.4556,67.6556,68.2667,67.8111,67.5889
AXES,2,90,68.1333,66.0889,67.0333,66.7111,66.4444
AXES,3,90,71.1889,70.0444,70.4444,69.8556,69.2444
AXES,4,90,69.5111,67.5778,69.0111,67.9889,67.7111
AXES,5,90,68.9333,66.8667,67.8333,67.5222,67.0889
CEN_MAD,1,90,69.8222,68.1444,68.8889,68.4333,67.7
CEN_MAD,2,90,68.5667,66.7,67.5556,66.9222,66.8222
CEN_MAD,3,90,69.9889,68.4556,69.2556,68.5667,68.5333
CEN_MAD,4,90,68.3889,66.6444,67.3444,66.2778,65.7333
CEN_MAD,5,90,68.8222,67.5556,68.5111,67.2889,66.7889
FUSED,1,90,69.5889,67.8,68.6222,67.7111,67.7111
FUSED,2,90,71.4667,69.6111,70.4444,69.4,69.2667
FUSED,3,90,69.8778,68.1111,69.2333,68.6444,68.4222
FUSED,4,90,71.5222,69.9667,70.2222,70.4333,69.7333
FUSED,5,90,69.4778,67.9222,68.4444,68.4667,67.5111
MAD,1,90,69.8444,68.8111,69.2333,68.8111,67.9667
MAD,2,90,70.2556,69.0444,69.4222,69.1,67.9111
MAD,3,90,69.8778,68.8556,68.9111,68.4,68.1333
MAD,4,90,69.5111,68.1333,68.6556,68.0889,68.0111
MAD,5,90,67.4333,65.9444,66.5889,66.1889,65.9889
R0,0,90,69.4889,68.1556,68.6778,68.2111,68.0556
SELF,1,90,69.5111,68.0667,68.1778,68.3111,67.3111
SELF,2,90,70.8222,69.0111,70.1556,69.1,68.7333
SELF,3,90,71.0111,70.0222,70.0667,70.0667,69.3333
SELF,4,90,70.1778,68.9111,69.3778,68.9667,68.5444
SELF,5,90,71.0,69.1333,70.1333,69.4222,69.0889
