condition,round,n,visual_concept_imagery_score,composition_hierarchy_score,typography_integration_score,color_atmosphere_craft_score,overall_score
R0,0,5,62.6,79.0,80.4,79.6,74.2
AXES,1,5,66.6,79.4,76.6,80.2,74.6
CEN_MAD,1,5,70.0,77.4,64.4,79.2,69.8
FUSED,1,5,70.2,80.2,85.8,81.8,79.4
MAD,1,5,67.6,74.8,71.0,81.0,72.6
SELF,1,5,63.2,78.0,77.6,78.2,73.0
AXES,2,5,64.8,75.8,72.8,77.8,72.0
CEN_MAD,2,5,73.2,80.2,76.2,80.8,77.2
FUSED,2,5,71.0,82.8,84.4,82.4,79.6
MAD,2,5,65.8,77.6,74.4,81.2,73.6
SELF,2,5,56.8,75.6,76.2,78.0,69.6
AXES,3,5,73.4,77.4,66.2,80.6,69.8
CEN_MAD,3,5,70.6,79.0,71.2,78.6,74.0
FUSED,3,5,70.0,81.2,77.2,82.4,76.0
MAD,3,5,67.6,76.2,79.6,80.6,75.4
SELF,3,5,64.6,80.2,82.2,78.2,75.6
AXES,4,5,68.2,79.2,66.6,79.8,69.6
CEN_MAD,4,5,73.6,80.0,78.8,79.6,77.6
FUSED,4,5,71.2,80.2,75.8,82.4,75.6
MAD,4,5,67.6,80.2,75.2,81.8,75.2
SELF,4,5,66.6,78.6,81.0,78.0,75.4
AXES,5,5,67.2,80.2,71.8,78.4,70.8
CEN_MAD,5,5,76.2,79.2,75.4,79.6,74.4
FUSED,5,5,71.0,81.0,76.8,81.4,76.6
MAD,5,5,68.8,82.4,81.0,81.8,77.8
SELF,5,5,65.4,78.2,80.4,78.0,74.8
